phase,route,source_module,source_line,desktop_screen,status
Foundation,developer_login,Administration,9940,Developer Login Screen,Not migrated
Foundation,developer_logout,Administration,9941,Developer Logout Screen,Not migrated
Foundation,developer_dashboard,Administration,9942,Developer Dashboard Screen,Not migrated
Reports / Print,document_archive_file,Print / Documents,9943,Document Archive File Workspace,Not migrated
Reports / Print,document_archive_whatsapp_send,Print / Documents,9944,Document Archive Whatsapp Send Workspace,Not migrated
Shared / Review,portal_search,Masters / Common,9945,Portal Search Screen,Not migrated
Foundation,dashboard_settings,Administration,9946,Dashboard Settings Screen,Not migrated
Foundation,company,Administration,9947,Company Screen,Not migrated
Masters,customers,Masters / Common,9948,Customers Screen,Not migrated
Masters,suppliers,Masters / Common,9949,Suppliers Screen,Not migrated
Masters,brands,Masters / Common,9950,Brands Screen,Not migrated
Masters,manufacturers,Masters / Common,9951,Manufacturers Screen,Not migrated
Masters,doctors,Restaurant / Pharmacy,9952,Doctors Screen,Not migrated
Masters,agents,Masters / Common,9953,Agents Screen,Not migrated
Masters,projects,Masters / Common,9954,Projects Screen,Not migrated
Shared / Review,property_types,Real Estate,9955,Property Types Screen,Not migrated
Masters,real_estate_units,Real Estate,9956,Real Estate Units Screen,Not migrated
Industry,restaurant_categories,Restaurant / Pharmacy,9957,Restaurant Categories Screen,Not migrated
Masters,item_categories,Inventory,9958,Item Categories Screen,Not migrated
Industry,restaurant_tables,Restaurant / Pharmacy,9959,Restaurant Tables Screen,Not migrated
Masters,items,Inventory,9960,Items Screen,Not migrated
Masters,item_duplicate_check,Inventory,9961,Item Duplicate Check Screen,Not migrated
Masters,units,Masters / Common,9962,Units Screen,Not migrated
Masters,tax_slabs,Masters / Common,9963,Tax Slabs Screen,Not migrated
Shared / Review,schemes,Masters / Common,9964,Schemes Screen,Not migrated
Reports / Print,master_import_export,Masters / Common,9965,Master Import Export Workspace,Not migrated
Shared / Review,barcode_labels,Masters / Common,9966,Barcode Labels Screen,Not migrated
Sales,sale_new,Sales,9967,Sale Entry,Not migrated
Sales,pos_billing,Sales,9968,Pos Billing Screen,Not migrated
Sales,electronics_pos_billing,Sales,9969,Electronics Pos Billing Screen,Not migrated
Industry,pharmacy_retail_billing,Restaurant / Pharmacy,9970,Pharmacy Retail Billing Screen,Not migrated
Sales,pharmacy_wholesale_billing,Sales,9971,Pharmacy Wholesale Billing Screen,Not migrated
Industry,prescription_billing,Restaurant / Pharmacy,9972,Prescription Billing Screen,Not migrated
Sales,pos_dine_in,Sales,9973,Pos Dine In Screen,Not migrated
Sales,pos_take_away,Sales,9974,Pos Take Away Screen,Not migrated
Sales,pos_delivery,Sales,9975,Pos Delivery Screen,Not migrated
Sales,sales,Sales,9976,Sales Screen,Not migrated
Reports / Print,print_bills,Print / Documents,9977,Print Bills Workspace,Not migrated
Reports / Print,print_bills_bulk,Print / Documents,9978,Print Bills Bulk Workspace,Not migrated
Sales,quotation_new,Sales,9979,Quotation Entry,Not migrated
Sales,quotations,Sales,9980,Quotations Screen,Not migrated
Sales,quotation_edit,Sales,9981,Quotation Edit Screen,Not migrated
Sales,quotation_print,Sales,9982,Quotation Print Preview,Not migrated
Sales,sales_order_new,Sales,9983,Sales Order Entry,Not migrated
Sales,sales_orders,Sales,9984,Sales Orders Screen,Not migrated
Sales,sales_order_edit,Sales,9985,Sales Order Edit Screen,Not migrated
Sales,kot_new,Sales,9986,Kot Entry,Not migrated
Sales,ready_orders,Sales,9987,Ready Orders Screen,Not migrated
Sales,sales_order_print,Sales,9988,Sales Order Print Preview,Not migrated
Sales,sale_print,Sales,9989,Sale Print Preview,Not migrated
Sales,sale_cancel,Sales,9990,Sale Cancel Action,Not migrated
Sales,sale_return,Sales,9991,Sale Return Screen,Not migrated
Sales,sales_returns,Sales,9992,Sales Returns Screen,Not migrated
Sales,sale_return_print,Sales,9993,Sale Return Print Preview,Not migrated
Sales,sale_return_cancel,Sales,9994,Sale Return Cancel Action,Not migrated
Purchase,purchase_new,Purchase,9995,Purchase Entry,Not migrated
Purchase,purchases,Purchase,9996,Purchases Screen,Not migrated
Sales,purchase_order_new,Sales,9997,Purchase Order Entry,Not migrated
Sales,purchase_plan_order,Sales,9998,Purchase Plan Order Screen,Not migrated
Sales,purchase_orders,Sales,9999,Purchase Orders Screen,Not migrated
