menu_route,view_class,view_file,shared_framework,header_implementation,toolbar_implementation,layout_type,action_buttons,signal_slot_wiring,keyboard_shortcuts,save_handler,error_handling,test_coverage,screen_fit,known_issue
accounts,ModuleHubView,views/module_hub_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,Receipts | Payments | Expenses | Journal Entry | Cash / Bank Book | ERP Day Book | Voucher Register | Voucher Review | Ledger Heads | Ledger Groups | Customer Ledger | ERP Ledger | Outstanding | Aging Report | Trial Balance | Profit & Loss | Balance Sheet | Cash Flow | Fund Flow | Bank Reconciliation | Account Closing | Control Check | Stock Ledger Adj. | Branches | Cost Centers | Routes | Salesmen | Vehicles | Transporters | Banks | Tax Codes | Payment Terms | Refresh | Show Options | Edit Selected | Cancel Selected | Print | Export CSV | Export PDF,39/39 visible buttons wired,none declared locally,not an entry page / service action,guarded + user message,"test_branding_ownership.py, test_company_branding.py, test_document_and_module_ui.py, test_email_attachment_clients.py, test_print_and_report_parity.py",1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
administration,ModuleHubView,views/module_hub_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,Developer Admin | Company | Users | Role Permissions | Financial Years | Numbering Series | Print Settings | Backup | LAN Setup | Dashboard Settings | Refresh | Show Options | Edit Selected | Cancel Selected | Print | Export CSV | Export PDF,17/17 visible buttons wired,none declared locally,not an entry page / service action,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
audit,QWidget,,Qt page framework,none,none,QVBoxLayout,,0/0 visible buttons wired,none declared locally,not an entry page / service action,not inspectable,"test_audit_tools.py, test_business_flow_lifecycle.py, test_developer_dashboard.py, test_installer_packaging.py, test_operator_keyboard_flow.py, test_smart_combo.py",1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
bank_master,SimpleMasterView,views/simple_master_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,New | Save Bank | Refresh | Print,4/4 visible buttons wired,Ctrl+F | Ctrl+N | Ctrl+P | Ctrl+S | Esc | F10 | F3 | F8,save_draft,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
branch_master,SimpleMasterView,views/simple_master_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,New | Save Branch | Refresh | Print,4/4 visible buttons wired,Ctrl+F | Ctrl+N | Ctrl+P | Ctrl+S | Esc | F10 | F3 | F8,save_draft,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
brand_master,SimpleMasterView,views/simple_master_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,New | Save Brand | Refresh | Print,4/4 visible buttons wired,Ctrl+F | Ctrl+N | Ctrl+P | Ctrl+S | Esc | F10 | F3 | F8,save_draft,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
category_master,SimpleMasterView,views/simple_master_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,New | Save Category | Refresh | Print,4/4 visible buttons wired,Ctrl+F | Ctrl+N | Ctrl+P | Ctrl+S | Esc | F10 | F3 | F8,save_draft,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
company_settings,SimpleMasterView,views/simple_master_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,New | Save Company Settings | Refresh | Print,4/4 visible buttons wired,Ctrl+F | Ctrl+N | Ctrl+P | Ctrl+S | Esc | F10 | F3 | F8,save_draft,guarded + user message,"test_document_and_module_ui.py, test_master_repository_and_industry.py",1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
cost_center_master,SimpleMasterView,views/simple_master_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,New | Save Cost Center | Refresh | Print,4/4 visible buttons wired,Ctrl+F | Ctrl+N | Ctrl+P | Ctrl+S | Esc | F10 | F3 | F8,save_draft,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
customer_master,PartyMasterView,views/party_master_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,New | Save Customer | Refresh | Print,4/4 visible buttons wired,Ctrl+E | Ctrl+F | Ctrl+N | Ctrl+P | Ctrl+S | Esc | F10 | F2 | F3 | F8,save_draft,guarded + user message,none found,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
